(1) 1-Hexadecanol;C16H34O⁠; [36653-82-4],"161F. P. Krause and W. Lange, J. Phys. Chem.69, 3171 (1965).",,
(2) Water;H2O⁠; [7732-18-5],,,
Reference liquid–liquid equilibrium data,,,
T(K),Water rich phase,Alcohol rich phase,
"x1,calc","x1,calc","x2,calc",
328.15,2.3e-09,2.98e-09,0.250
