names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
prop-2-ynyl formate,C#CCOC=O,3.360344887,3.303315401,255.3082123,0.702137053,0,0
prop-2-ynyl acetate,C#CCOC(C)=O,3.456993103,3.385451317,257.1446838,2.698523283,0,0
prop-2-ynyl propanoate,C#CCOC(=O)CC,3.723995447,3.509451151,262.254425,2.844346046,0,10.53417015
prop-2-ynyl butanoate,C#CCOC(=O)CCC,3.962304115,3.591705322,265.2449341,2.998248816,0,0
prop-2-ynyl pentanoate,C#CCOC(=O)CCCC,4.195141315,3.678195,267.958252,3.08044076,0,0
prop-2-ynyl hexanoate,C#CCOC(=O)CCCCC,4.435861588,3.757050037,270.3720093,3.178257465,0,0
prop-2-ynyl heptanoate,C#CCOC(=O)CCCCCC,4.625225067,3.827992678,272.5037231,3.256999016,0,0
4-formyloxybut-2-ynyl formate,O=COCC#CCOC=O,4.978303432,3.294031858,288.8854675,0,0,0
4-acetyloxybut-2-ynyl acetate,CC(=O)OCC#CCOC(C)=O,5.207670212,3.561041832,287.2568665,1.643517971,0,0
propyl pyridine-3-carboxylate,CCCOC(=O)c1cccnc1,4.81420517,3.540184498,284.680542,1.722056627,0,0
propan-2-yl pyridine-3-carboxylate,CC(C)OC(=O)c1cccnc1,4.821372509,3.544335365,284.7853088,1.53166008,0,0
ethyl pyridine-4-carboxylate,CCOC(=O)c1ccncc1,4.562743187,3.421430111,284.7666931,1.328788757,0,0
ethyl 3-phenylprop-2-ynoate,CCOC(=O)C#Cc1ccccc1,5.132810116,3.662545681,286.4661865,3.265643597,0,0
4-nitrooxybutyl nitrate,O=[N+]([O-])OCCCCO[N+](=O)[O-],4.629127502,3.345109224,297.100647,3.552794456,0,17.27620316
5-nitrooxypentyl nitrate,O=[N+]([O-])OCCCCCO[N+](=O)[O-],4.854595661,3.494438648,295.1474304,3.612648249,0,12.11006927
methyl-phenyl-di(propan-2-yloxy)silane,CC(C)O[Si](C)(OC(C)C)c1ccccc1,4.867810249,4.071283817,269.4764404,0.77568686,0,0
dibutoxy-methyl-phenylsilane,CCCCO[Si](C)(OCCCC)c1ccccc1,5.274419785,4.174580574,280.7783203,3.094840527,0,0
chloro-diethoxy-methylsilane,CCO[Si](C)(Cl)OCC,3.561576605,3.973429441,247.9403381,2.667072535,0,0
[acetyloxy(phenyl)methyl] acetate,CC(=O)OC(OC(C)=O)c1ccccc1,5.149936676,3.620486736,294.1388855,3.466998339,0,0
"1,2-dibromobutane",CCC(Br)CBr,3.871907711,3.540486813,271.6877136,0.123778641,0,0
"1,2-dibromohexane",CCCCC(Br)CBr,4.334908009,3.702030659,278.4978638,0.663755655,0,0
"1,2-dibromoheptane",CCCCCC(Br)CBr,4.564836502,3.768307209,279.9622498,2.436245203,0,0
"1,2-dibromooctane",CCCCCCC(Br)CBr,4.791938782,3.824365616,283.7599487,2.29597187,0,10.84413624
"1,2-dibromo-1,1,2-trifluoroethane",FC(Br)C(F)(F)Br,3.192508221,3.565280914,233.0125122,2.008778572,0,0
"1,1-dichlorononane",CCCCCCCCC(Cl)Cl,4.635793686,3.907066345,277.8778992,3.114138365,0,0
"3,7-dimethyloctane-3,5-diol",CCC(C)(O)CC(O)CC(C)C,4.097033501,4.029252052,293.7849426,0,0.00380018,2664.91333
"5-methyl-2-propan-2-ylhexane-1,3-diol",CC(C)CC(O)C(CO)C(C)C,4.41752243,3.904743195,300.4361267,0,0.003831638,2927.271484
"penta-1,3-diynylcyclopropane",CC#CC#CC1CC1,4.119067192,3.665075064,264.8162537,0.165682465,0,0
"9-methyl-1,2,3,4-tetrahydrocarbazole",Cn1c2c(c3ccccc31)CCCC2,5.267139435,3.642859459,317.9783936,3.453413486,0,20.95817566
"2-chloro-1,3-benzothiazole",Clc1nc2ccccc2s1,4.77399683,3.414831161,303.4006348,3.172761917,0,0
3-(chloromethyl)pentane,CCC(CC)CCl,3.401831627,3.807137489,256.9964905,2.43629241,0,0
"1,3,5-triethyl-2,4-diisocyanatobenzene",CCc1cc(CC)c(N=C=O)c(CC)c1N=C=O,5.244736671,3.764337301,306.5935974,3.422974586,0,27.65219688
1-chloro-2-isocyanatobenzene,O=C=Nc1ccccc1Cl,4.093232155,3.459728956,291.0985107,2.82355094,0,48.92803192
chloro-[chloro(dimethyl)silyl]oxy-dimethylsilane,C[Si](C)(Cl)O[Si](C)(C)Cl,3.672059059,3.889644146,254.9232941,2.727276087,0,0
chloro-[chloro(diethyl)silyl]oxy-diethylsilane,CC[Si](Cl)(CC)O[Si](Cl)(CC)CC,4.839411736,4.130500793,266.5574646,2.833917379,0,0
,C=CC[Si](CC=C)CC=C,4.024875164,3.74823451,264.2721863,0,0,0
methyl-bis(prop-2-enyl)silane,C=CC[SiH](C)CC=C,3.527067184,3.772721767,254.4458923,0.241017401,0,0
dimethyl(prop-2-enyl)silane,C=CC[SiH](C)C,2.902787209,3.834151745,245.1316071,1.584219456,0,0
cyclopropyl(trimethyl)silane,C[Si](C)(C)C1CC1,3.325790644,3.904768229,241.2190704,0,0,0
1-chloro-2-ethenylbenzene,C=Cc1ccccc1Cl,3.835845232,3.764453411,283.7912903,2.856655121,0,0
"1,5-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2cccc(O)c21,6.019292355,3.145296812,367.6008911,0.196539432,0.003843693,2930.487549
"1,8-dihydroxyanthracene-9,10-dione",O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,5.989267826,3.297034502,361.3125,0.800287068,0.002356042,1773.390259
"3,5,6-trichloro-2,2,3,4,4,5,6,6-octafluorohexanoic acid",O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,4.738708496,3.654234648,273.6048584,0,0.002908184,2806.103271
"3,5,7,8-tetrachloro-2,2,3,4,4,5,6,6,7,8,8-undecafluorooctanoic acid",O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,5.255171776,3.915786743,282.5815125,0.275339097,0.002758967,2719.712646
"3,5,7,9,10-pentachloro-2,2,3,4,4,5,6,6,7,8,8,9,10,10-tetradecafluorodecanoic acid",O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,5.755170822,4.050786018,295.696991,1.297389507,0.001965558,1811.369507
N-difluorophosphanyl-N-methylmethanamine,CN(C)P(F)F,3.223953247,3.299253941,222.7490845,2.102728128,0,45.2877121
N-(difluoro-lambda4-sulfanylidene)carbamoyl fluoride,O=C(F)N=S(F)F,3.153523922,3.349494457,222.9573669,0.526853502,0,42.96235657
cyclopentylcyclohexane,C1CCC(C2CCCC2)CC1,4.316778183,3.857597351,278.3259583,0,0,0
N-acetyl-N-methylacetamide,CC(=O)N(C)C(C)=O,4.068819046,3.118962765,292.1408081,2.822772503,0,21.25881958
"2-methylisoindole-1,3-dione",CN1C(=O)c2ccccc2C1=O,5.032381058,3.283670425,319.6624146,2.943484306,0.00018583,129.9833374
fluorosulfonyl carbonofluoridate,O=C(F)OS(=O)(=O)F,3.422343254,3.349905014,211.8842621,0,0,0
"1,1,1,2,2,3,4,4,4-nonafluoro-3-fluorosulfonyloxybutane",O=S(=O)(F)OC(F)(C(F)(F)F)C(F)(F)C(F)(F)F,3.984745979,4.026572704,199.7420197,0,0,0
"fluorosulfonyl 2,2,2-trifluoroacetate",O=C(OS(=O)(=O)F)C(F)(F)F,3.655613899,3.59924674,201.7940521,0,0,0
"N,N-difluorocarbamoyl fluoride",O=C(F)N(F)F,2.592165947,3.104183197,173.1045074,0,0,0
N-methyl-N-(tetrafluoro-lambda5-phosphanyl)methanamine,CN(C)P(F)(F)(F)F,3.516281128,3.228404999,221.442215,1.703714371,0,0
"2,2,2,4,4,4-hexafluoro-1,3-dimethyl-1,3,2lambda5,4lambda5-diazadiphosphetidine",CN1P(F)(F)(F)N(C)P1(F)(F)F,3.931504488,3.32515955,224.6262207,1.85566318,0,15.91676426
1-methyl-4-(4-methylphenyl)sulfonylbenzene,Cc1ccc(S(=O)(=O)c2ccc(C)cc2)cc1,5.999952316,3.655979633,334.0882263,3.46061182,0.00014214,109.9612961
"(3aS,7aS)-1,1,2,2,3,3,3a,4,4,5,5,6,6,7,7,7a-hexadecafluoroindene",FC1(F)C(F)(F)C(F)(F)[C@@]2(F)C(F)(F)C(F)(F)C(F)(F)[C@]2(F)C1(F)F,4.484280109,3.976107836,214.2949524,0.105160289,0,78.56564331
"(3aR,7aS)-1,1,2,2,3,3,3a,4,4,5,5,6,6,7,7,7a-hexadecafluoroindene",FC1(F)C(F)(F)C(F)(F)[C@]2(F)C(F)(F)C(F)(F)C(F)(F)[C@]2(F)C1(F)F,4.421504974,3.954476118,215.7212524,0,0,18.71977997
"2,4,6-trimethyl-2,4,6-triphenyl-1,3,5,2,4,6-trioxatrisilinane",C[Si@]1(c2ccccc2)O[Si@@](C)(c2ccccc2)O[Si@@](C)(c2ccccc2)O1,5.889175415,3.9655509,325.3166199,0,0,0
"2,4,6-trimethyl-2,4,6-triphenyl-1,3,5,2,4,6-trioxatrisilinane",C[Si]1(c2ccccc2)O[Si](C)(c2ccccc2)O[Si](C)(c2ccccc2)O1,5.853191376,3.983807564,322.8677673,0,0,0
"2,2,3,3,4,4,4-heptafluorobutan-1-ol",OCC(F)(F)C(F)(F)C(F)(F)F,3.382925987,3.568151474,229.1278076,0,0.003564548,2215.387207
"1,1,1,2,3,4,4,4-octafluoro-2,3-bis(trifluoromethyl)butane",FC(F)(F)C(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,3.833255291,3.938818216,193.254776,0,0,0
"1,1,2,2,3,4-hexafluoro-3,4-bis(trifluoromethyl)cyclobutane",FC(F)(F)C1(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,3.786798477,3.755394936,193.2424164,0,0,0
chlorocyclopentane,ClC1CCCC1,3.261046886,3.515282869,260.896759,2.370136738,0,0
propan-2-yl carbonochloridate,CC(C)OC(=O)Cl,3.300884247,3.444476128,251.8597717,2.447976112,0,0
1-ethenylbenzimidazole,C=Cn1cnc2ccccc21,4.905563354,3.28070879,313.2311707,1.691463232,0,58.36526871
2-methyl-2-propoxypropane,CCCOC(C)(C)C,3.327746391,3.946870327,241.3383026,2.602160692,0,0
tetrakis(2-chloroethyl) silicate,ClCCO[Si](OCCCl)(OCCCl)OCCCl,5.537576675,3.840451479,311.4091797,3.566153765,0,26.02437401
"1,4-dimethylpiperazine-2,5-dione",CN1CC(=O)N(C)CC1=O,5.19939518,3.420168877,337.3506775,3.265193939,0,17.32075882
"dimethyl (2S,3S)-2,3-diacetyloxybutanedioate",COC(=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)C(=O)OC,5.719471931,3.709380627,306.0934753,3.537437201,0,0
1-iodo-3-nitrobenzene,O=[N+]([O-])c1cccc(I)c1,4.873234749,3.307137012,304.2583923,3.098777533,0.000110834,91.41007996
3H-2-benzofuran-1-one,O=C1OCc2ccccc21,4.758267403,3.246062994,312.8764343,3.249332905,0.000123053,86.29338837
"1,3,5-trichloro-2-methoxybenzene",COc1c(Cl)cc(Cl)cc1Cl,4.676468849,3.668753624,287.5281067,3.212002516,0,0
4-methylcyclohexan-1-ol,C[C@H]1CC[C@H](O)CC1,3.511276722,3.680830002,278.4203186,0,0.003762553,2408.063232
octyl benzoate,CCCCCCCCOC(=O)c1ccccc1,5.465406895,3.97543931,301.9755859,3.578069448,0,37.06098175
tris(ethenyl)-prop-2-enylsilane,C=CC[Si](C=C)(C=C)C=C,3.819612503,3.785801411,264.2757568,0,0,0
bis(ethenyl)-bis(prop-2-enyl)silane,C=CC[Si](C=C)(C=C)CC=C,4.108971596,3.81444025,266.1210938,0,0,0
"1,1,1,2,2,3,3-heptafluoro-3-(1,1,2,2,3,3,3-heptafluoropropoxy)propane",FC(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F,3.872736454,4.166435242,189.6577454,0,0,0
methyl (e)-pent-3-enoate,CC=CCC(=O)OC,3.543194771,3.608204842,259.2772827,2.807187319,0,0
3-ethyl-2-methylhexane,CCCC(CC)C(C)C,3.771271706,4.019257545,251.0957184,0,0,0
bis(trifluoromethyl)phosphoryl-trifluoromethane,O=P(C(F)(F)F)(C(F)(F)F)C(F)(F)F,3.695456505,3.630176783,189.0960693,0,0,0
N-[bis(trifluoromethyl)phosphoryl]-N-methylmethanamine,CN(C)P(=O)(C(F)(F)F)C(F)(F)F,4.415852547,3.444969893,244.6591187,2.819611073,0,16.68835068
diethoxyboranyl(diethoxy)borane,CCOB(OCC)B(OCC)OCC,4.484599113,4.128933907,255.4859467,2.633633137,0,0
dimethoxyboranyl(dimethoxy)borane,COB(OC)B(OC)OC,3.561823845,3.904000282,262.0952148,0.840367258,0,0
N-[bis(dimethylamino)boranyl-(dimethylamino)boranyl]-N-methylmethanamine,CN(C)B(B(N(C)C)N(C)C)N(C)C,4.289278507,4.115672588,279.4645386,0,0.000249448,201.8790588
N-dichloroboranyl-N-methylmethanamine,CN(C)B(Cl)Cl,3.213139057,3.618586302,261.4633484,2.138756752,0,0
fluoro-bis(trifluoromethyl)phosphane,FP(C(F)(F)F)C(F)(F)F,3.050512791,3.48246336,180.7052155,1.495264769,0,10.90816307
bis(trifluoromethyl)phosphane,FC(F)(F)PC(F)(F)F,3.036795139,3.34128809,189.6320648,1.685725093,0,0
methyl-bis(trifluoromethyl)phosphane,CP(C(F)(F)F)C(F)(F)F,3.380227566,3.551030397,204.2422485,2.093525887,0,14.24027157
ethyl (E)-3-(furan-2-yl)prop-2-enoate,CCOC(=O)/C=C/c1ccco1,4.598258495,3.645552397,281.178894,3.143138647,0,0
"1,1,2,2,3,3,4,4,5-nonafluorocyclopentane",FC1C(F)(F)C(F)(F)C(F)(F)C1(F)F,3.573904514,3.714512348,195.4536438,1.990902901,0,0
"cyclotetradeca-1,8-diyne",C1#CCCCCCC#CCCCCC1,5.362338066,3.978252411,283.9384155,0,0,0
cyclohexanecarboxylic acid,O=C(O)C1CCCCC1,4.179624557,3.394585133,297.220459,0,0.003959231,2741.935303
1-methylcyclohexane-1-carboxylic acid,CC1(C(=O)O)CCCCC1,4.276404381,3.434610128,295.2369385,0,0.003780913,2827.760986
"butyl 2,2-dichloroacetate",CCCCOC(=O)C(Cl)Cl,4.387100697,3.621884346,268.5442505,3.052553177,0,17.69780159
"1,2,3,4-tetrahydrophenanthrene",c1ccc2c3c(ccc2c1)CCCC3,5.349182129,3.705723286,305.3178101,3.072381735,0,0
ethyl 3-chloropropanoate,CCOC(=O)CCCl,3.880944729,3.457677364,271.2715149,2.779064417,0,0
1-chloro-2-ethylsulfanylethane,CCSCCCl,3.622368813,3.431615353,281.3439636,2.599169493,0,29.19748878
"1,2-dibromo-1,1,2,2-tetrachloroethane",ClC(Cl)(Br)C(Cl)(Cl)Br,4.490846157,3.464179516,293.8532104,0.217311606,0,0
"1,1,2,2,2-pentakis-phenylethylbenzene",c1ccc(C(c2ccccc2)(c2ccccc2)C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,6.094975471,4.004222393,351.8650818,0,0.000283951,215.6557312
[hydroperoxy(diphenyl)methyl]benzene,OOC(c1ccccc1)(c1ccccc1)c1ccccc1,5.758927345,3.676496029,359.2500305,0,0.004251352,3368.338867
dimethylphosphane,CPC,2.483208895,3.727720976,227.4241638,1.894090414,0,14.07017994
methyl-bis(methylsulfanyl)borane,CSB(C)SC,3.47292757,3.762031794,275.0119019,2.488898277,0,22.58614731
methoxyethene,C=COC,2.323948145,3.388546705,227.8961792,1.843473554,0,0
2-methoxyacetic acid,COCC(=O)O,3.682503223,3.187642574,316.9476318,0,0.004402768,2060.50708
"(Z)-1,4-dichlorobut-2-ene",ClC/C=C\CCl,3.67406106,3.372457027,276.5397949,0,0,0
"(E)-1,4-dichlorobut-2-ene",ClC/C=C/CCl,3.728079319,3.370119572,275.5349731,0,0,0
"3,4-dichlorobut-1-ene",C=CC(Cl)CCl,3.393004417,3.471562862,266.6907654,0,0,0
ethenoxyethene,C=COC=C,2.528818846,3.546695948,236.3689423,1.716052413,0,0
(Z)-but-2-enoic acid,C/C=C\C(=O)O,3.406645775,3.374588966,300.2345276,0,0.004049696,2219.684082
tert-butyl formate,CC(C)(C)OC=O,3.04907608,3.658645391,247.0511169,2.586250305,0,0
butan-2-yl formate,CCC(C)OC=O,3.178133011,3.650896549,249.1529541,2.616420507,0,0
2-methylbutanoic acid,CCC(C)C(=O)O,3.468531609,3.590936661,290.0880432,0,0.003847994,2355.672119
methyl 2-methylbutanoate,CCC(C)C(=O)OC,3.439781189,3.688392162,252.0751801,2.728883266,0,0
prop-2-ynylcyclohexane,C#CCC1CCCCC1,4.044317245,3.720998526,260.2147827,1.554760575,0,0
1-[2-(2-propoxyethoxy)ethoxy]propane,CCCOCCOCCOCCC,4.525493622,4.035661221,278.0705872,0.353426576,0,0
1-isocyanato-2-nitrobenzene,O=C=Nc1ccccc1[N+](=O)[O-],4.710625648,3.283341408,292.6143494,3.207595587,0,29.80155563
1-isocyanato-3-nitrobenzene,O=C=Nc1cccc([N+](=O)[O-])c1,4.744306564,3.191474676,297.4645386,3.136144638,0,39.92620468
1-isocyanato-4-nitrobenzene,O=C=Nc1ccc([N+](=O)[O-])cc1,4.81053257,3.019032955,304.5086365,3.031246662,0,69.44830322
"2-isocyanato-1,3,5-trimethylbenzene",Cc1cc(C)c(N=C=O)c(C)c1,4.422839165,3.619682789,282.3319397,3.128598452,0,0
"1-N,1-N,2-N,2-N-tetrafluoro-4-methylpentane-1,2-diamine",CC(C)CC(CN(F)F)N(F)F,3.953150272,3.547157288,249.898407,1.612287283,0.000946172,819.6878052
"1,3-dimethyl-2-nitrobenzene",Cc1cccc(C)c1[N+](=O)[O-],4.444351196,3.568489552,292.5128174,3.33470583,0,0
acetyl iodide,CC(=O)I,3.145829916,3.037721872,265.48526,2.10700655,0,10.45945263
"1,2,2,3,3,4,4,5,5,6,6-undecafluoropiperidine",FN1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,3.696475983,3.815550566,193.7137146,0,0,0
"1,2-dimethylhydrazine",CNNC,2.877533197,3.024532318,270.5703735,0,0.00392068,1331.615234
1-bromo-2-ethenylbenzene,C=Cc1ccccc1Br,4.153614998,3.653040409,287.223175,2.404263973,0,0
(2s)-2-amino-3-methylbutanoic acid,CC(C)[C@H](N)C(=O)O,5.510309696,3.052447319,366.2123718,0,0.005123447,3606.374756
(2S)-2-amino-4-methylpentanoic acid,CC(C)C[C@H](N)C(=O)O,5.563088417,3.106604576,360.8627319,0,0.005028139,3580.351074
"propane-1,3-dithiol",SCCCS,3.228160858,3.553780317,308.8377075,0,0.003407087,1514.922974
"(Z)-1,2-diiodoethene",I/C=C\I,3.737994671,3.451822996,290.8048706,2.745200634,0,0
"(E)-1,2-diiodoethene",I/C=C/I,3.719130993,3.440645218,292.4675293,2.654399872,0,0
"2,2-dimethylpropanedinitrile",CC(C)(C#N)C#N,3.881523609,3.195017576,273.4013672,3.008805037,0,0
"1,1-dichlorocyclopropane",ClC1(Cl)CC1,2.964018583,3.453302383,246.45784,2.419138193,0,0
"1,4-dichloro-2-ethenylbenzene",C=Cc1cc(Cl)ccc1Cl,4.378314972,3.651123047,287.6870117,2.249920845,0,0
"n,n-dibutylformamide",CCCCN(C=O)CCCC,4.842404366,3.720009804,280.502655,3.41063571,0,16.56488419
2-(diethylamino)pentanenitrile,CCCC(C#N)N(CC)CC,4.480950356,3.793767452,267.9830322,3.266012907,0,0
ethyl 2-(diethylamino)butanoate,CCOC(=O)C(CC)N(CC)CC,4.566932201,3.786564827,266.7131042,2.610151291,0,0
1-ethylsulfonylethane,CCS(=O)(=O)CC,4.535894394,3.380650282,300.1362915,3.390629768,0,10.65783024
2-tert-butylsulfonyl-2-methylpropane,CC(C)(C)S(=O)(=O)C(C)(C)C,4.83334589,3.628256798,287.0746155,3.457961321,0,16.34028053
ethyl methyl sulfite,CCOS(=O)OC,3.786101818,3.398545265,263.7581787,2.726734638,0,0
trimethylphosphane,CP(C)C,2.596840382,3.932768106,235.0796204,1.983365059,0,0
"butane-1,4-dithiol",SCCCCS,3.607499361,3.633211851,308.7469788,0,0.003321614,1753.615112
"1,2-dimethylcyclohexene",CC1=C(C)CCCC1,3.697781801,3.696939707,258.565094,0,0,0
2-tert-butylsulfanyl-2-methylpropane,CC(C)(C)SC(C)(C)C,3.6672194,4.169807911,259.1917725,2.674880743,0,14.62120247
tridecylcyclohexane,CCCCCCCCCCCCCC1CCCCC1,5.95097065,4.224470615,296.598999,0,0,0
(2R)-2-amino-3-sulfanylpropanoic acid,N[C@@H](CS)C(=O)O,5.589269638,3.052078485,384.9901123,0,0.004933503,3507.583984
,[CH3].[CH3].[CH3].[Sb],3.726634502,3.673043728,230.7618256,0,0,0
,[Bi].[CH3].[CH3].[CH3],3.712216854,3.545059204,235.9813232,0,0,0
benzoyl benzoate,O=C(OC(=O)c1ccccc1)c1ccccc1,5.672332764,3.502790451,318.1216431,3.496222258,0,13.17040062
2-sulfanylpropanoic acid,CC(S)C(=O)O,3.858997345,3.251927137,308.4572144,0,0.003715943,2117.756104
2-ethyl-3-methylnaphthalene,CCc1cc2ccccc2cc1C,4.903314114,3.763139009,294.7374268,0.427310884,0,0
1-nitrodecane,CCCCCCCCCC[N+](=O)[O-],5.168329239,3.803950548,284.6994934,3.534363747,0,0
"pentane-1,5-dithiol",SCCCCCS,3.794276237,3.738739729,308.5007935,0,0.003296825,1908.482666
N-(diethylsulfamoyl)-N-ethylethanamine,CCN(CC)S(=O)(=O)N(CC)CC,4.84220314,3.67621541,288.4855042,3.323993683,0,15.34425831
"4,4,6-trimethyl-1,3-dioxane",CC1CC(C)(C)OCO1,3.584927797,3.846956491,265.4873047,2.758330822,0,0
N-methylpentan-1-amine,CCCCCNC,3.198536873,3.973743916,260.8154907,0,0.002574946,1684.469727
N-ethyl-2-methylpropan-2-amine,CCNC(C)(C)C,2.862568378,3.955883026,259.9571533,0,0.002737887,1447.204834
cycloundecanone,O=C1CCCCCCCCCC1,4.778594971,3.651993752,287.7410583,3.284690857,0,0
1-methyl-4-methylsulfonylbenzene,Cc1ccc(S(C)(=O)=O)cc1,5.258613586,3.340158224,316.9108582,3.562527657,0,24.09400368
iodomethylbenzene,ICc1ccccc1,3.932428598,3.577365398,304.8111267,2.893682003,0,41.70666122
hexylcyclohexane,CCCCCCC1CCCCC1,4.750374794,3.881189346,270.0581055,0,0,0
2-ethyl-1H-indene,CCC1=Cc2ccccc2C1,4.304348946,3.763709307,287.5127869,0,0,0
3-ethyl-1H-indene,CCC1=CCc2ccccc21,4.244079113,3.758663893,285.7976685,0,0,0
"2,3,6-trimethyl-1H-indene",CC1=C(C)c2ccc(C)cc2C1,4.575101852,3.750251532,290.0908508,0,0,0
"hexyl 2,2,3,3,4,4,4-heptafluorobutanoate",CCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,4.690202713,4.000775337,241.2138519,2.98827529,0,0
icosan-9-ylbenzene,CCCCCCCCCCCC(CCCCCCCC)c1ccccc1,6.381790161,4.629194736,322.5775146,0,0,0
1-methyl-4-nonadecan-8-ylbenzene,CCCCCCCCCCCC(CCCCCCC)c1ccc(C)cc1,6.346070766,4.616284847,318.7797241,0,0,0
icosylcyclohexane,CCCCCCCCCCCCCCCCCCCCC1CCCCC1,6.460706234,4.621440887,329.4239502,0,0,10.15277576
icosan-9-ylcyclohexane,CCCCCCCCCCCC(CCCCCCCC)C1CCCCC1,6.390293121,4.684598923,323.4181213,0,0,0
octylcyclohexane,CCCCCCCCC1CCCCC1,5.209111214,3.98940444,275.0672302,0,0,0
1-bromo-4-ethylbenzene,CCc1ccc(Br)cc1,4.039246559,3.66065383,282.3125916,2.9486866,0,0
1-bromo-2-propan-2-ylbenzene,CC(C)c1ccccc1Br,4.274733543,3.824496746,285.2706604,3.130683184,0,0
1-ethenyl-4-propan-2-ylbenzene,C=Cc1ccc(C(C)C)cc1,4.274632454,3.72065115,277.9621582,0,0,0
2-chlorobenzaldehyde,O=Cc1ccccc1Cl,4.105388641,3.481201649,293.8383484,3.175804615,0,0
1-chloro-4-ethoxybenzene,CCOc1ccc(Cl)cc1,4.082651138,3.723597527,283.9649353,3.025511265,0,0
2-(2-ethylphenyl)ethanol,CCc1ccccc1CCO,4.081970215,3.732531071,305.276947,0,0.00376086,2646.060059
1-ethoxyheptane,CCCCCCCOCC,4.16450119,3.982695341,255.4627991,3.020076513,0,0
1-ethoxyoctane,CCCCCCCCOCC,4.419299126,4.017858505,258.6621094,3.149960279,0,0
1-ethoxydecane,CCCCCCCCCCOCC,4.900463104,4.098608494,268.9263611,3.265406609,0,0
"1,2-dibromo-1-chloro-1,2,2-trifluoroethane",FC(F)(Br)C(F)(Cl)Br,3.485833168,3.603007793,237.0275726,0,0,0
"(Z)-1,2-dichloro-1,2-difluoroethene",F/C(Cl)=C(\F)Cl,3.09140873,3.392255306,217.3594818,0.783009946,0,0
"2-chlorobenzene-1,4-diol",Oc1ccc(O)c(Cl)c1,4.543775558,3.193833828,314.3815002,0,0.003647713,3004.095947
"2,3,5-trichlorobenzene-1,4-diol",Oc1cc(Cl)c(O)c(Cl)c1Cl,4.666710377,3.626498699,328.1422424,0,0.003506561,2796.824463
"2-chlorocyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(Cl)=C1,4.690643787,3.05863905,293.8703918,0,0,21.24222755
"2,6-dichlorocyclohexa-2,5-diene-1,4-dione",O=C1C=C(Cl)C(=O)C(Cl)=C1,5.046992302,3.151367664,301.6852417,0,0,22.20489883
"2,3,5-trichlorocyclohexa-2,5-diene-1,4-dione",O=C1C=C(Cl)C(=O)C(Cl)=C1Cl,5.366332054,3.264730453,311.9406433,0.137776151,0,16.80241776
methyl but-3-enoate,C=CCC(=O)OC,3.274709702,3.467900753,254.9121094,2.585268497,0,0
propyl but-3-enoate,C=CCC(=O)OCCC,3.719445705,3.697746992,260.3564758,2.87197566,0,0
butyl but-3-enoate,C=CCC(=O)OCCCC,4.020363808,3.720910549,263.578949,2.990135431,0,0
pentyl but-3-enoate,C=CCC(=O)OCCCCC,4.306952477,3.781248331,266.0820618,3.117609501,0,0
butyl undec-10-enoate,C=CCCCCCCCCC(=O)OCCCC,5.537202835,4.067989349,286.5449219,3.555849552,0,0
dimethyl 2-prop-2-enylpropanedioate,C=CCC(C(=O)OC)C(=O)OC,4.683234215,3.532135487,273.7259521,3.152990341,0,0
diethyl 2-prop-2-enylpropanedioate,C=CCC(C(=O)OCC)C(=O)OCC,4.997514725,3.709969044,272.8327332,2.968900442,0,0
dibutyl 2-prop-2-enylpropanedioate,C=CCC(C(=O)OCCCC)C(=O)OCCCC,5.622418404,3.978772402,283.5446167,1.608831048,0,0
dipropyl 2-methylbutanedioate,CCCOC(=O)CC(C)C(=O)OCCC,5.310844421,3.823075533,271.1437378,0.309778333,0,0
ethoxycyclopentane,CCOC1CCCC1,3.496472836,3.68833518,261.7824707,2.607082367,0,0
cyclopentyl acetate,CC(=O)OC1CCCC1,3.698445797,3.666925907,268.0042419,2.941782951,0,0
iodocyclopentane,IC1CCCC1,3.552736282,3.575942039,278.552063,2.666244984,0,0
methoxycyclohexane,COC1CCCCC1,3.438964367,3.717880487,266.1815186,2.352582932,0,0
ethoxycyclohexane,CCOC1CCCCC1,3.777794361,3.780464172,265.2429504,2.788178682,0,0
iodocyclohexane,IC1CCCCC1,3.808716297,3.627314091,281.9499512,2.774970293,0,11.19567966
