names,SMILES,m,sigma,epsilon_k,mu,kappa_ab,epsilon_k_ab
"2,4-dimethylpentane",CC(C)CC(C)C,3.110297918,3.956595659,242.4732666,0,0,0
"1,4-dioxane",C1COCCO1,2.938532829,3.401643038,278.3981018,0,0,0
"2,6-dimethylpyridine",Cc1cccc(C)n1,3.524900436,3.54172039,270.8700256,2.523931265,0,0
dodecane,CCCCCCCCCCCC,4.892046452,4.025474548,261.018158,0,0,0
benzaldehyde,O=Cc1ccccc1,3.815844536,3.257971287,282.4926758,2.929692984,0,0
butyl acetate,CCCCOC(C)=O,3.564238548,3.689304352,253.0670929,2.831278324,0,0
cyclohexyl acetate,CC(=O)OC1CCCCC1,3.922730923,3.707149506,271.1391602,3.050409317,0,0
methyl acetate,COC(C)=O,2.755904198,3.357277393,246.0071716,2.217932701,0,0
acetic acid,CC(=O)O,2.710474253,3.117213726,308.1977539,0,0.004674462,1538.500366
furan-2-carbaldehyde,O=Cc1ccco1,3.61446619,3.198121071,283.4485779,2.759220839,0,0
n-propylpropan-1-amine,CCCNCCC,2.999287605,3.934711218,264.0005798,0,0.00285154,1585.421021
hexadec-1-ene,C=CCCCCCCCCCCCCCC,5.62154007,4.057172775,279.6982117,0,0,0
hexane,CCCCCC,3.022294998,3.821181774,238.9271088,0,0,0
heptane,CCCCCCC,3.405257702,3.836892843,242.0910034,0,0,0
heptan-2-one,CCCCCC(C)=O,3.793094873,3.721416473,260.0433655,3.072536469,0,0
2-methylbutane,CCC(C)C,2.554556608,3.846021175,231.4816589,0,0,0
propan-2-ol,CC(C)O,2.717597485,3.364871025,252.5709381,0,0.004400051,2206.988037
2-propan-2-yloxypropane,CC(C)OC(C)C,3.009958267,3.917308331,233.16362,2.480101585,0,0
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,3.319556236,4.016046047,243.1301117,0,0,0
"2-methylbuta-1,3-diene",C=CC(=C)C,2.57980895,3.723413467,238.1184692,0,0,0
iodomethane,CI,2.432081223,3.399738312,246.2982025,1.926165104,0,0
hex-1-ene,C=CCCCC,2.905914545,3.820580244,241.6064301,0,0,0
n-propan-2-ylpropan-2-amine,CC(C)NC(C)C,2.798505306,3.985201359,259.2662354,0,0.002679415,1385.436157
hexan-1-amine,CCCCCCN,3.410987377,3.832552433,265.9201965,0,0.002531468,1700.649048
n-ethyl-n-methylethanamine,CCN(C)CC,2.847266912,3.824985027,245.8920288,0,0,0
1-methylnaphthalene,Cc1cccc2ccccc12,4.473646164,3.637323618,295.0110474,0,0,0
2-methylnaphthalene,Cc1ccc2ccccc2c1,4.45424366,3.626435041,296.127533,0,0,0
methanol,CO,2.585470915,2.753298759,278.4378052,0,0.005111661,1432.826904
2-methylpentane,CCCC(C)C,2.889861107,3.872754335,238.0650787,0,0,0
3-methylpentane,CCC(C)CC,2.893012047,3.880701542,238.8409729,0,0,0
2-methoxyethanol,COCCO,2.776571989,3.418121815,303.4868469,0,0.00471107,1523.462646
morpholine,C1COCCN1,3.126795769,3.397267103,284.3437195,0,0.003619569,1478.419922
4-hydroxy-4-methylpentan-2-one,CC(=O)CC(C)(C)O,3.667210102,3.652401447,277.7329407,0,0.003047438,1838.742065
butylbenzene,CCCCc1ccccc1,4.021807671,3.78090024,273.0798035,0,0,0
4-methylpentan-2-one,CC(=O)CC(C)C,3.328660488,3.68374157,256.1607971,2.797963381,0,0
3-methylpyridine,Cc1cccnc1,3.571667671,3.421220303,269.2719116,2.708014965,0,0
4-methylpyridine,Cc1ccncc1,3.537446022,3.410734653,271.9272156,2.660833836,0,0
2-methylpropan-1-ol,CC(C)CO,3.035046577,3.472391367,254.3351593,0,0.004118858,2356.018555
prop-1-en-2-ylbenzene,C=C(C)c1ccccc1,3.733690262,3.686393499,275.5481567,0,0,0
naphthalene,c1ccc2ccccc2c1,4.167443752,3.559379816,293.8966064,0,0,0
3-[(2s)-1-methylpyrrolidin-2-yl]pyridine,CN1CCC[C@H]1c1cccnc1,4.569766998,3.576558113,290.5839539,3.058586359,0,57.39801407
nitromethane,C[N+](=O)[O-],2.990145922,2.929043531,272.6535645,2.250563145,0,0
1-nitropropane,CCC[N+](=O)[O-],3.437664986,3.342106819,265.9931335,2.745680094,0,0
nonan-1-ol,CCCCCCCCCO,3.983122349,4.019758224,277.2907104,0,0.003740261,2874.265869
octane,CCCCCCCC,3.747135639,3.883178711,246.4237213,0,0,0
