1,2,74.54
1,3,-114.8
1,4,-115.7
1,5,644.6
1,6,329.6
1,7,310.7
1,7,1300.0
1,8,2255.0
1,9,472.6
1,10,158.1
1,30,383
1,20,139.4
1,11,972.4
1,13,662.1
1,21,42.14
1,22,-243.9
1,23,7.5
1,24,-5.55
1,25,924.8
1,19,696.8
1,17,902.2
1,26,556.7
1,27,575.7
1,31,527.5
1,18,-300.0
1,35,956.5
2,3,340.7
2,4,4102.0
2,5,724.4
2,6,1731.0
2,7,1731.0
2,7,896.0
2,9,343.7
2,10,-214.7
2,20,1647.0
2,11,-577.5
2,13,289.3
2,21,99.61
2,22,337.1
2,23,4583.0
2,24,5831.0
2,19,405.9
2,26,425.7
2,35,265.4
3,4,167.0
3,5,703.9
3,6,511.5
3,7,577.3
3,7,859.4
3,8,1649.0
3,9,593.7
3,10,362.3
3,30,31.14
3,20,461.8
3,11,6.0
3,13,32.14
3,21,-18.81
3,23,-231.9
3,24,3000.0
3,25,-878.1
3,19,29.13
3,17,1.64
3,26,-1.77
3,27,-11.19
3,31,358.9
3,18,-578.2
3,35,84.16
4,5,4000.0
4,6,136.6
4,7,906.8
4,7,5695.0
4,8,292.6
4,9,916.7
4,10,1218
4,30,715.6
4,20,339.1
4,11,5688.0
4,13,213.1
4,21,-114.1
4,23,-12.14
4,24,-141.3
4,25,-107.3
4,19,1208.0
4,17,689.6
4,26,3629.0
4,27,-175.6
4,31,337.7
4,18,-390.7
4,35,132.2
5,6,937.3
5,7,991.3
5,7,28.73
5,8,-195.5
5,9,67.07
5,10,1409.0
5,30,-140.3
5,20,-104.0
5,11,195.6
5,13,262.5
5,21,62.05
5,22,272.2
5,23,-61.57
5,24,-41.75
5,25,-597.1
5,19,-189.3
5,17,-348.2
5,26,-30.70
5,27,-159.0
5,31,536.6
5,18,183.3
6,7,-61.29
6,8,-153.2
6,9,-47.41
6,10,-344.1
6,30,299.3
6,20,244.4
6,11,19.57
6,13,1970.0
6,21,-166.4
6,22,128.6
6,23,1544.0
6,24,224.6
6,26,150.8
7,7,5.89
7,8,-153.2
7,9,353.8
7,10,-338.6
7,30,-241.8
7,20,-57.98
7,11,487.1
7,13,1970.0
7,21,-166.4
7,22,507.8
7,23,1544.0
7,24,-207.0
7,26,150.8
7,8,344.5
7,9,-171.8
7,10,-349.9
7,30,66.95
7,20,-465.7
7,11,-6.320
7,13,64.42
7,21,315.9
