main_group,main_group_id,subgroup,subgroup_id,R,Q,IL_R,IL_Q,bonds,atoms,smarts,contribute,composed
CNH,15,CH3NH,31,1.4337,1.244,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 4}",[CX4;H3][NX3;H1],"{""CH3NH"": 1, ""CH3"": -1}",n
CNH,15,CH2NH,32,1.207,0.936,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 3}",[CX4;H2][NX3;H1],"{""CH2NH"": 1, ""CH2"": -1}",n
CNH,15,CHNH,33,0.9795,0.624,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 2}",[CX4;H1][NX3;H1],"{""CHNH"": 1, ""CH"": -1}",n
(C)3N,16,CH3N,34,1.1865,0.94,,,{'single': 1},"{'N': 1, 'C': 1, 'H': 3}",[CX4;H3][NX3;H0],"{""CH3N"": 1, ""CH3"": -1}",n
(C)3N,16,CH2N,35,0.9597,0.632,1.0746,0.824,{'single': 1},"{'N': 1, 'C': 1, 'H': 2}",[CX4;H2][NX3;H0],"{""CH2N"": 1, ""CH2"": -1}",n
ACNH2,17,ACNH2,36,1.06,0.816,,,"{'single': 1, 'aromatic': 1}","{'N': 1, 'C': 1, 'H': 2}",[c][NX3;H2],"{""ACNH2"": 1, ""AC"": -1}",n
CCN,19,CH3CN,40,1.8701,1.724,1.5575,1.5193,"{'triple ': 1, 'single': 1}","{'C': 2, 'H': 3, 'N': 1}",[CX4;H3][CX2]#[NX1],"{""CH3CN"": 1, ""CH3"": -1}",n
CCN,19,CH2CN,41,1.6434,1.416,1.5575,1.1666,"{'triple ': 1, 'single': 1}","{'C': 2, 'H': 2, 'N': 1}",[CX4;H2][CX2]#[NX1],"{""CH2CN"": 1, ""CH2"": -1}",n
COOH,20,COOH,42,1.3013,1.224,0.8,0.9215,"{'double': 1, 'single': 1}","{'C': 1, 'H': 1, 'O': 2}",[CX3](=[OX1])[O;H1],"{""COOH"": 1, ""OH"": -1}",n
COOH,20,HCOOH,43,1.528,1.532,,,"{'double': 1, 'single': 1}","{'C': 1, 'H': 2, 'O': 2}",[CX3;H1](=[OX1])[OX2;H1],"{""HCOOH"": 1, ""OH"": -1}",n
CCL,21,CH2CL,44,1.4654,1.264,0.9919,1.3654,{'single': 1},"{'Cl': 1, 'H': 2, 'C': 1}",[CX4;H2;!$(C(Cl)(Cl))](Cl),"{""CH2CL"": 1, ""CH2"": -1}",n
CCL,21,CHCL,45,1.238,0.952,,,{'single': 1},"{'Cl': 1, 'H': 1, 'C': 1}",[CX4;H1;!$(C(Cl)(Cl))](Cl),"{""CHCL"": 1, ""CH"": -1}",n
CCL,21,CCL,46,1.0106,0.724,,,{'single': 1},"{'Cl': 1, 'H': 0, 'C': 1}",[CX4;H0](Cl),"{""CCL"": 1, ""C"": -1}",n
CCL2,22,CH2CL2,47,2.2564,1.988,1.8,2.5,{'single': 2},"{'Cl': 2, 'H': 2, 'C': 1}",[CX4;H2;!$(C(Cl)(Cl)(Cl))](Cl)(Cl),"{""CH2CL2"": 1, ""CH2"": -1}",n
CCL2,22,CHCL2,48,2.0606,1.684,,,{'single': 2},"{'Cl': 2, 'H': 1, 'C': 1}",[CX4;H1;!$(C(Cl)(Cl)(Cl))](Cl)(Cl),"{""CHCL2"": 1, ""CH"": -1}",n
CCL2,22,CCL2,49,1.8016,1.448,,,{'single': 2},"{'Cl': 2, 'H': 0, 'C': 1}",[CX4;H0;!$(C(Cl)(Cl)(Cl))](Cl)(Cl),"{""CCL2"": 1, ""C"": -1}",n
